distance from coast,water type,site,reference,d18O,dD,elevation (m),elevation (km),township and range,latitude,longitude,notes
,lake,"Sutcliffe, Pyramid Lake",Benson and White (1994),-0.85,-31.5,1182,1.182,,39.95,-119.6,location not given
,lake,"Sutcliffe, Pyramid Lake",Benson and White (1994),-0.85,-31.5,1182,1.182,,39.95,-119.6,location not given
,lake,"Sutcliffe, Pyramid Lake",Benson and White (1994),-0.85,-31.5,1182,1.182,,39.95,-119.6,location not given
,lake,"Sutcliffe, Pyramid Lake",Benson and White (1994),-0.75,-31,1182,1.182,,39.95,-119.6,location not given
,lake,"Sutcliffe, Pyramid Lake",Benson and White (1994),-0.7,-31,1182,1.182,,39.95,-119.6,location not given
,lake,"Sutcliffe, Pyramid Lake",Benson and White (1994),-0.67,-31,1182,1.182,,39.95,-119.6,location not given
,lake,"Sutcliffe, Pyramid Lake",Benson and White (1994),-0.65,-31,1182,1.182,,39.95,-119.6,location not given
,lake,"Sutcliffe, Pyramid Lake",Benson and White (1994),-0.65,-33,1182,1.182,,39.95,-119.6,location not given
,lake,"Sutcliffe, Pyramid Lake",Benson and White (1994),-0.65,-33,1182,1.182,,39.95,-119.6,location not given
,lake,"Sutcliffe, Pyramid Lake",Benson and White (1994),-0.65,-33,1182,1.182,,39.95,-119.6,location not given
,lake,"Sutcliffe, Pyramid Lake",Benson and White (1994),-0.65,-33,1182,1.182,,39.95,-119.6,location not given
,lake,"Sutcliffe, Pyramid Lake",Benson and White (1994),-0.65,-33,1182,1.182,,39.95,-119.6,location not given
,lake,"Sutcliffe, Pyramid Lake",Benson and White (1994),-0.35,-31,1182,1.182,,39.95,-119.6,location not given
,lake,"Sutcliffe, Pyramid Lake",Benson and White (1994),-0.4,-29,1182,1.182,,39.95,-119.6,location not given
,lake,"Sutcliffe, Pyramid Lake",Benson and White (1994),-0.35,-29.5,1182,1.182,,39.95,-119.6,location not given
,lake,"Sutcliffe, Pyramid Lake",Benson and White (1994),-0.35,-29.5,1182,1.182,,39.95,-119.6,location not given
,lake,"Sutcliffe, Pyramid Lake",Benson and White (1994),-0.35,-29.5,1182,1.182,,39.95,-119.6,location not given
,lake,"Sutcliffe, Pyramid Lake",Benson and White (1994),-0.35,-30.5,1182,1.182,,39.95,-119.6,location not given
,lake,"Sutcliffe, Pyramid Lake",Benson and White (1994),-0.65,-32,1182,1.182,,39.95,-119.6,location not given
,lake,"Sutcliffe, Pyramid Lake",Benson and White (1994),-0.65,-30,1182,1.182,,39.95,-119.6,location not given
,lake,"Sutcliffe, Pyramid Lake",Benson and White (1994),-0.65,-30,1182,1.182,,39.95,-119.6,location not given
,lake,"Sutcliffe, Pyramid Lake",Benson and White (1994),-0.65,-30,1182,1.182,,39.95,-119.6,location not given
,lake,"Sutcliffe, Pyramid Lake",Benson and White (1994),-0.65,-30,1182,1.182,,39.95,-119.6,location not given
,,,,,,,,,,,
,vapor,"Deepsite, Pyramid Lake",Benson and White (1994),-14.1,-104.5,1158,1.158,,40.05,-119.58,location not given
,vapor,"Deepsite, Pyramid Lake",Benson and White (1994),-15,-110.5,1158,1.158,,40.05,-119.58,location not given
,vapor,"Deepsite, Pyramid Lake",Benson and White (1994),-14.8,-108,1158,1.158,,40.05,-119.58,location not given
,vapor,"Deepsite, Pyramid Lake",Benson and White (1994),-14.4,-103,1158,1.158,,40.05,-119.58,location not given
,vapor,"Deepsite, Pyramid Lake",Benson and White (1994),-14.1,-108,1158,1.158,,40.05,-119.58,location not given
,vapor,"Deepsite, Pyramid Lake",Benson and White (1994),-15.3,-119,1158,1.158,,40.05,-119.58,location not given
,,,,,,,,,,,
,lake,"Deepsite, Pyramid Lake",Benson and White (1994),-0.55,-33,1158,1.158,,40.05,-119.58,location not given
,lake,"Deepsite, Pyramid Lake",Benson and White (1994),-0.55,-33,1158,1.158,,40.05,-119.58,location not given
,lake,"Deepsite, Pyramid Lake",Benson and White (1994),-0.55,-33,1158,1.158,,40.05,-119.58,location not given
,lake,"Deepsite, Pyramid Lake",Benson and White (1994),-0.55,-33,1158,1.158,,40.05,-119.58,location not given
,lake,"Deepsite, Pyramid Lake",Benson and White (1994),-0.65,-31,1158,1.158,,40.05,-119.58,location not given
,lake,"Deepsite, Pyramid Lake",Benson and White (1994),-0.65,-31,1158,1.158,,40.05,-119.58,location not given
,,,,,,,,,,,
,vapor,"Southshore, Pyramid Lake",Benson and White (1994),-13.6,-97.5,1182,1.182,,38.86,-119.44,location not given
,vapor,"Southshore, Pyramid Lake",Benson and White (1994),-14.6,-106.5,1182,1.182,,38.86,-119.44,location not given
,vapor,"Southshore, Pyramid Lake",Benson and White (1994),-14.8,-100.5,1182,1.182,,38.86,-119.44,location not given
,,,,,,,,,,,
,lake,"Southshore, Pyramid Lake",Benson and White (1994),-0.85,-31.5,1182,1.182,,38.86,-119.44,location not given
,lake,"Southshore, Pyramid Lake",Benson and White (1994),-0.55,-33,1182,1.182,,38.86,-119.44,location not given
,lake,"Southshore, Pyramid Lake",Benson and White (1994),-0.55,-33,1182,1.182,,38.86,-119.44,location not given
,,,,,,,,,,,
,vapor,"Northshore, Pyramid Lake",Benson and White (1994),-14.6,-99.5,1158,1.158,,40.17,-119.67,location not given
,vapor,"Northshore, Pyramid Lake",Benson and White (1994),-15.9,-108.5,1158,1.158,,40.17,-119.67,location not given
,,,,,,,,,,,
,lake,"Northshore, Pyramid Lake",Benson and White (1994),-0.55,-33,1158,1.158,,40.17,-119.67,location not given
,lake,"Northshore, Pyramid Lake",Benson and White (1994),-0.55,-33,1158,1.158,,40.17,-119.67,location not given
,,,,,,,,,,,
,vapor,Winnemucca Lake Basin,Benson and White (1994),-23.2,-155.5,1158,1.158,,40.14,-119.35,location not given
,vapor,Winnemucca Lake Basin,Benson and White (1994),-19.4,-140.5,1158,1.158,,40.14,-119.35,location not given
,,,,,,,,,,,
,GW,Sierra Valley,Reed (1975),-14.87,-119.1,1521,1.521,T22N/R15E/32,39.7192,-120.3232,only extracted values from sources below 50C
,GW,Sierra Valley,Reed (1975),-15.66,-122.2,1521,1.521,T22N/R15E/32,39.7192,-120.3232,
,GW,Sierra Valley,Reed (1975),-14.64,-118.5,1521,1.521,T22N/R15E/32,39.7192,-120.3232,
,GW,Sierra Valley,Reed (1975),-14.75,-110.6,1523,1.523,T21N/R15E/9,39.6905,-120.3047,
,GW,Sierra Valley,Reed (1975),-14.84,-111.4,1582,1.582,T20N/R15E/19,39.5712,-120.3533,
,,,,,,,,,,,
,GW,Honey Lake Valley,Reed (1975),-14.48,-113.4,1304,1.304,T29N/R12E/6,40.4001,-120.6658,only extracted values from sources below 50C
,,,,,,,,,,,
Winter 91-92,rain,Alamo,Friedman et al (2002b),,,1134,1.134,,37.3633,-115.1933,
,rain,Austin,Friedman et al (2002b),,,1747,1.747,,39.3633,-117.195,
,rain,Bear Lake,Friedman et al (2002b),,,1807,1.807,,42.2467,-111.33833,
,rain,Bend,Friedman et al (2002b),,,1052,1.052,,44.0933,-121.19833,
,rain,Big Creek,Friedman et al (2002b),,,2204,2.204,,39.32167,-117.12167,
,rain,Bishop,Friedman et al (2002b),-14.2,-107,1256,1.256,,37.3733,-118.365,
,rain,Brian Head,Friedman et al (2002b),-15.7,-115,3002,3.002,,37.68,-112.845,
,rain,Burns,Friedman et al (2002b),,,1263,1.263,,43.59167,-118.9533,
,rain,Carson City,Friedman et al (2002b),-14,-105,1432,1.432,,39.19167,-119.735,
,rain,Cave Mountain,Friedman et al (2002b),,,3246,3.246,,39.15833,-114.60833,
,rain,Cedar City,Friedman et al (2002b),-15.1,-111,1714,1.714,,37.70167,-113.0967,
,rain,Cherry Creek Range,Friedman et al (2002b),-3.4,-101,2880,2.88,,40.12167,-114.875,
,rain,Connors Pass,Friedman et al (2002b),-16.1,-103,2522,2.522,,39.025,-114.64167,
,rain,Dantes View,Friedman et al (2002b),-14.5,-103,1575,1.575,,36.2167,-116.7183,
,rain,Death Valley,Friedman et al (2002b),-9.8,-75,-65,-0.065,,36.46,-116.88,
,rain,Deer Valley,Friedman et al (2002b),-12.8,-96,2195,2.195,,40.6367,-111.495,
,rain,Delta,Friedman et al (2002b),-17.6,-137,1449,1.449,,39.3833,-112.50833,
,rain,Elko,Friedman et al (2002b),,,1937,1.937,,40.8233,-115.79,
,rain,Ely,Friedman et al (2002b),-16.9,-120,1907,1.907,,39.3,-114.84167,
,rain,Hanksville,Friedman et al (2002b),,,1170,1.17,,38.41833,-110.7033,
,rain,Hawthorne,Friedman et al (2002b),-14.8,-113,1298,1.298,,38.545,-118.633,
,rain,Hayford Peak,Friedman et al (2002b),,,2999,2.999,,36.65833,-115.195,
,rain,Jackpot,Friedman et al (2002b),-13.8,-105,1590,1.59,,41.97167,-114.65833,
,rain,Lakeview,Friedman et al (2002b),,,1441,1.441,,42.16167,-120.39833,
,rain,McDermitt,Friedman et al (2002b),-15.6,-117,1366,1.366,,42.00167,-117.72167,
,rain,Middle Canyon,Friedman et al (2002b),-16.5,-125,2134,2.134,,42.46167,-112.19167,
,rain,Mount Hamilton,Friedman et al (2002b),,,3216,3.216,,39.24,-115.54,
,rain,Mount Moriah,Friedman et al (2002b),,,2858,2.858,,39.31833,-114.23833,
,rain,Mount Wilson,Friedman et al (2002b),,,2804,2.804,,38.24,-114.38833,
,rain,Owyhee,Friedman et al (2002b),-14.1,-109,1638,1.638,,41.9533,-116.1867,
,rain,Pine Mountain,Friedman et al (2002b),,,1920,1.92,,43.79167,-120.76833,
,rain,Potosi Peak,Friedman et al (2002b),,,2463,2.463,,35.945,-115.5,
,rain,Price,Friedman et al (2002b),,,1804,1.804,,39.6067,-110.74833,
,rain,Searchlight,Friedman et al (2002b),,,1040,1.04,,35.44167,-114.9,
,rain,Sheep Peak,Friedman et al (2002b),,,2926,2.926,,36.5833,-115.25,
,rain,Susanville,Friedman et al (2002b),,,1558,1.558,,40.5633,-120.76822,
,rain,Tonopah,Friedman et al (2002b),-14.4,-109,1654,1.654,,38.06,-117.0867,
,rain,Tooele,Friedman et al (2002b),-16,-112,1518,1.518,,40.61167,-112.35,
,rain,Wendover,Friedman et al (2002b),-17.2,-118,1292,1.292,,40.71833,-114.03,
,rain,White Mountain,Friedman et al (2002b),-14.9,-111,2697,2.697,,37.35167,-118.1833,
,rain,Winnemucca,Friedman et al (2002b),-14.8,-103,1312,1.312,,40.8967,-117.805,
,,,,,,,,,,,
Winter 92-93,rain,Alamo,Friedman et al (2002b),-13.6,-103,1134,1.134,,37.3633,-115.1933,
,rain,Austin,Friedman et al (2002b),,,1747,1.747,,39.3633,-117.195,
,rain,Bear Lake,Friedman et al (2002b),,,1807,1.807,,42.2467,-111.33833,
,rain,Bend,Friedman et al (2002b),,,1052,1.052,,44.0933,-121.19833,
,rain,Big Creek,Friedman et al (2002b),-14.9,-114,2204,2.204,,39.32167,-117.12167,
,rain,Bishop,Friedman et al (2002b),-13.4,-108,1256,1.256,,37.3733,-118.365,
,rain,Brian Head,Friedman et al (2002b),,-92,3002,3.002,,37.68,-112.845,
,rain,Burns,Friedman et al (2002b),,,1263,1.263,,43.59167,-118.9533,
,rain,Carson City,Friedman et al (2002b),-15.2,-124,1432,1.432,,39.19167,-119.735,
,rain,Cave Mountain,Friedman et al (2002b),,,3246,3.246,,39.15833,-114.60833,
,rain,Cedar City,Friedman et al (2002b),-13.5,-101,1714,1.714,,37.70167,-113.0967,
,rain,Cherry Creek Range,Friedman et al (2002b),-14.8,-121,2880,2.88,,40.12167,-114.875,
,rain,Connors Pass,Friedman et al (2002b),-16.5,-124,2522,2.522,,39.025,-114.64167,
,rain,Dantes View,Friedman et al (2002b),-13.7,-97,1575,1.575,,36.2167,-116.7183,
,rain,Death Valley,Friedman et al (2002b),-9.3,-71,-65,-0.065,,36.46,-116.88,
,rain,Deer Valley,Friedman et al (2002b),-14.8,-115,2195,2.195,,40.6367,-111.495,
,rain,Delta,Friedman et al (2002b),,,1449,1.449,,39.3833,-112.50833,
,rain,Elko,Friedman et al (2002b),,,1937,1.937,,40.8233,-115.79,
,rain,Ely,Friedman et al (2002b),,,1907,1.907,,39.3,-114.84167,
,rain,Hanksville,Friedman et al (2002b),-13.7,-103,1170,1.17,,38.41833,-110.7033,
,rain,Hawthorne,Friedman et al (2002b),-16.4,-127,1298,1.298,,38.545,-118.633,
,rain,Hayford Peak,Friedman et al (2002b),-13.2,-96,2999,2.999,,36.65833,-115.195,
,rain,Jackpot,Friedman et al (2002b),,,1590,1.59,,41.97167,-114.65833,
,rain,Lakeview,Friedman et al (2002b),,,1441,1.441,,42.16167,-120.39833,
,rain,McDermitt,Friedman et al (2002b),,,1366,1.366,,42.00167,-117.72167,
,rain,Middle Canyon,Friedman et al (2002b),-13.5,-118,2134,2.134,,42.46167,-112.19167,
,rain,Mount Hamilton,Friedman et al (2002b),-14,-102,3216,3.216,,39.24,-115.54,
,rain,Mount Moriah,Friedman et al (2002b),-15.1,-113,2858,2.858,,39.31833,-114.23833,
,rain,Mount Wilson,Friedman et al (2002b),-15.1,-111,2804,2.804,,38.24,-114.38833,
,rain,Owyhee,Friedman et al (2002b),,,1638,1.638,,41.9533,-116.1867,
,rain,Pine Mountain,Friedman et al (2002b),-16.1,-120,1920,1.92,,43.79167,-120.76833,
,rain,Potosi Peak,Friedman et al (2002b),-12.7,-89,2463,2.463,,35.945,-115.5,
,rain,Price,Friedman et al (2002b),,,1804,1.804,,39.6067,-110.74833,
,rain,Searchlight,Friedman et al (2002b),-11,-76,1040,1.04,,35.44167,-114.9,
,rain,Sheep Peak,Friedman et al (2002b),-13,-85,2926,2.926,,36.5833,-115.25,
,rain,Susanville,Friedman et al (2002b),,,1558,1.558,,40.5633,-120.76822,
,rain,Tonopah,Friedman et al (2002b),-12.7,-86,1654,1.654,,38.06,-117.0867,
,rain,Tooele,Friedman et al (2002b),-14.7,-115,1518,1.518,,40.61167,-112.35,
,rain,Wendover,Friedman et al (2002b),,,1292,1.292,,40.71833,-114.03,
,rain,White Mountain,Friedman et al (2002b),-15.8,-113,2697,2.697,,37.35167,-118.1833,
,rain,Winnemucca,Friedman et al (2002b),,,1312,1.312,,40.8967,-117.805,
,,,,,,,,,,,
Winter 93-94,rain,Alamo,Friedman et al (2002b),-12.3,-92,1134,1.134,,37.3633,-115.1933,
,rain,Austin,Friedman et al (2002b),-16.9,-127,1747,1.747,,39.3633,-117.195,
,rain,Bear Lake,Friedman et al (2002b),,,1807,1.807,,42.2467,-111.33833,
,rain,Bend,Friedman et al (2002b),-15.2,-118,1052,1.052,,44.0933,-121.19833,
,rain,Big Creek,Friedman et al (2002b),-18.9,-146,2204,2.204,,39.32167,-117.12167,
,rain,Bishop,Friedman et al (2002b),-14.9,-109,1256,1.256,,37.3733,-118.365,
,rain,Brian Head,Friedman et al (2002b),-16.1,-119,3002,3.002,,37.68,-112.845,
,rain,Burns,Friedman et al (2002b),-15.1,-118,1263,1.263,,43.59167,-118.9533,
,rain,Carson City,Friedman et al (2002b),-15.9,-121,1432,1.432,,39.19167,-119.735,
,rain,Cave Mountain,Friedman et al (2002b),-15.1,-118,3246,3.246,,39.15833,-114.60833,
,rain,Cedar City,Friedman et al (2002b),-15,-116,1714,1.714,,37.70167,-113.0967,
,rain,Cherry Creek Range,Friedman et al (2002b),-16.8,-126,2880,2.88,,40.12167,-114.875,
,rain,Connors Pass,Friedman et al (2002b),-17.6,-125,2522,2.522,,39.025,-114.64167,
,rain,Dantes View,Friedman et al (2002b),-14.1,-108,1575,1.575,,36.2167,-116.7183,
,rain,Death Valley,Friedman et al (2002b),-4.1,-51,-65,-0.065,,36.46,-116.88,
,rain,Deer Valley,Friedman et al (2002b),-17.3,-136,2195,2.195,,40.6367,-111.495,
,rain,Delta,Friedman et al (2002b),-17.5,-132,1449,1.449,,39.3833,-112.50833,
,rain,Elko,Friedman et al (2002b),-15.4,-117,1937,1.937,,40.8233,-115.79,
,rain,Ely,Friedman et al (2002b),-15.9,-120,1907,1.907,,39.3,-114.84167,
,rain,Hanksville,Friedman et al (2002b),-16,-121,1170,1.17,,38.41833,-110.7033,
,rain,Hawthorne,Friedman et al (2002b),-14.6,-117,1298,1.298,,38.545,-118.633,
,rain,Hayford Peak,Friedman et al (2002b),,,2999,2.999,,36.65833,-115.195,
,rain,Jackpot,Friedman et al (2002b),-15.2,-118,1590,1.59,,41.97167,-114.65833,
,rain,Lakeview,Friedman et al (2002b),,,1441,1.441,,42.16167,-120.39833,
,rain,McDermitt,Friedman et al (2002b),-16.1,-124,1366,1.366,,42.00167,-117.72167,
,rain,Middle Canyon,Friedman et al (2002b),-18.2,-137,2134,2.134,,42.46167,-112.19167,
,rain,Mount Hamilton,Friedman et al (2002b),,,3216,3.216,,39.24,-115.54,
,rain,Mount Moriah,Friedman et al (2002b),,,2858,2.858,,39.31833,-114.23833,
,rain,Mount Wilson,Friedman et al (2002b),,,2804,2.804,,38.24,-114.38833,
,rain,Owyhee,Friedman et al (2002b),,,1638,1.638,,41.9533,-116.1867,
,rain,Pine Mountain,Friedman et al (2002b),-15.1,-112,1920,1.92,,43.79167,-120.76833,
,rain,Potosi Peak,Friedman et al (2002b),-12.8,-92,2463,2.463,,35.945,-115.5,
,rain,Price,Friedman et al (2002b),-20.1,-147,1804,1.804,,39.6067,-110.74833,
,rain,Searchlight,Friedman et al (2002b),-11.7,-79,1040,1.04,,35.44167,-114.9,
,rain,Sheep Peak,Friedman et al (2002b),,,2926,2.926,,36.5833,-115.25,
,rain,Susanville,Friedman et al (2002b),-13.7,-101,1558,1.558,,40.5633,-120.76822,
,rain,Tonopah,Friedman et al (2002b),-14.8,-109,1654,1.654,,38.06,-117.0867,
,rain,Tooele,Friedman et al (2002b),-16.6,-126,1518,1.518,,40.61167,-112.35,
,rain,Wendover,Friedman et al (2002b),-12.9,-94,1292,1.292,,40.71833,-114.03,
,rain,White Mountain,Friedman et al (2002b),-6.4,-123,2697,2.697,,37.35167,-118.1833,
,rain,Winnemucca,Friedman et al (2002b),-15,-114,1312,1.312,,40.8967,-117.805,
,,,,,,,,,,,
Winter 96-97,rain,Alamo,Friedman et al (2002b),-14.1,-107,1134,1.134,,37.3633,-115.1933,
,rain,Austin,Friedman et al (2002b),-18.5,-143,1747,1.747,,39.3633,-117.195,
,rain,Bear Lake,Friedman et al (2002b),-18.1,-140,1807,1.807,,42.2467,-111.33833,
,rain,Bend,Friedman et al (2002b),-17.5,-133,1052,1.052,,44.0933,-121.19833,
,rain,Big Creek,Friedman et al (2002b),-17.2,-124,2204,2.204,,39.32167,-117.12167,
,rain,Bishop,Friedman et al (2002b),-15,-114,1256,1.256,,37.3733,-118.365,
,rain,Brian Head,Friedman et al (2002b),-16.7,-119,3002,3.002,,37.68,-112.845,
,rain,Burns,Friedman et al (2002b),-15.1,-116,1263,1.263,,43.59167,-118.9533,
,rain,Carson City,Friedman et al (2002b),-15.1,-114,1432,1.432,,39.19167,-119.735,
,rain,Cave Mountain,Friedman et al (2002b),-17.5,-131,3246,3.246,,39.15833,-114.60833,
,rain,Cedar City,Friedman et al (2002b),-14.9,-101,1714,1.714,,37.70167,-113.0967,
,rain,Cherry Creek Range,Friedman et al (2002b),-15.6,-112,2880,2.88,,40.12167,-114.875,
,rain,Connors Pass,Friedman et al (2002b),-18.1,-128,2522,2.522,,39.025,-114.64167,
,rain,Dantes View,Friedman et al (2002b),-14.2,-103,1575,1.575,,36.2167,-116.7183,
,rain,Death Valley,Friedman et al (2002b),-8.8,-70,-65,-0.065,,36.46,-116.88,
,rain,Deer Valley,Friedman et al (2002b),-19.3,-148,2195,2.195,,40.6367,-111.495,
,rain,Delta,Friedman et al (2002b),-15.8,-121,1449,1.449,,39.3833,-112.50833,
,rain,Elko,Friedman et al (2002b),-16.8,-132,1937,1.937,,40.8233,-115.79,
,rain,Ely,Friedman et al (2002b),-16.6,-127,1907,1.907,,39.3,-114.84167,
,rain,Hanksville,Friedman et al (2002b),-15.4,-117,1170,1.17,,38.41833,-110.7033,
,rain,Hawthorne,Friedman et al (2002b),-14.8,-115,1298,1.298,,38.545,-118.633,
,rain,Hayford Peak,Friedman et al (2002b),,,2999,2.999,,36.65833,-115.195,
,rain,Jackpot,Friedman et al (2002b),-18.8,-144,1590,1.59,,41.97167,-114.65833,
,rain,Lakeview,Friedman et al (2002b),-13.6,-104,1441,1.441,,42.16167,-120.39833,
,rain,McDermitt,Friedman et al (2002b),-15.4,-122,1366,1.366,,42.00167,-117.72167,
,rain,Middle Canyon,Friedman et al (2002b),-16.4,-129,2134,2.134,,42.46167,-112.19167,
,rain,Mount Hamilton,Friedman et al (2002b),,,3216,3.216,,39.24,-115.54,
,rain,Mount Moriah,Friedman et al (2002b),-17,-128,2858,2.858,,39.31833,-114.23833,
,rain,Mount Wilson,Friedman et al (2002b),-15,-108,2804,2.804,,38.24,-114.38833,
,rain,Owyhee,Friedman et al (2002b),,,1638,1.638,,41.9533,-116.1867,
,rain,Pine Mountain,Friedman et al (2002b),-16,-120,1920,1.92,,43.79167,-120.76833,
,rain,Potosi Peak,Friedman et al (2002b),-14.3,-103,2463,2.463,,35.945,-115.5,
,rain,Price,Friedman et al (2002b),-16.9,-124,1804,1.804,,39.6067,-110.74833,
,rain,Searchlight,Friedman et al (2002b),-10.8,-79,1040,1.04,,35.44167,-114.9,
,rain,Sheep Peak,Friedman et al (2002b),,,2926,2.926,,36.5833,-115.25,
,rain,Susanville,Friedman et al (2002b),-14,-111,1558,1.558,,40.5633,-120.76822,
,rain,Tonopah,Friedman et al (2002b),-16.7,-27,1654,1.654,,38.06,-117.0867,
,rain,Tooele,Friedman et al (2002b),-16,-124,1518,1.518,,40.61167,-112.35,
,rain,Wendover,Friedman et al (2002b),-15.5,-124,1292,1.292,,40.71833,-114.03,
,rain,White Mountain,Friedman et al (2002b),-18.3,-39,2697,2.697,,37.35167,-118.1833,
,rain,Winnemucca,Friedman et al (2002b),-15.1,-117,1312,1.312,,40.8967,-117.805,
,,,,,,,,,,,
Winter 85-86,rain,Dante's View,Friedman et al (1992),-12.4,-84,1575,1.575,,36.2167,-116.71833,
,rain,Darwin,Friedman et al (1992),-12,-84,1435,1.435,,36.2633,-117.5967,
,rain,Death Valley,Friedman et al (1992),-7.1,-64,-65,-0.065,,36.46,-116.867,
,rain,Lone Pine,Friedman et al (1992),-11.8,-89,1130,1.13,,36.59,-118.05167,
,,,,,,,,,,,
Winter 86-87,rain,Dante's View,Friedman et al (1992),-15.1,-113,1575,1.575,,36.2167,-116.71833,
,rain,Darwin,Friedman et al (1992),,,1435,1.435,,36.2633,-117.5967,
,rain,Death Valley,Friedman et al (1992),-13.3,-104,-65,-0.065,,36.46,-116.867,
,rain,Lone Pine,Friedman et al (1992),-15.8,-119,1130,1.13,,36.59,-118.05167,
,,,,,,,,,,,
LCW-1,GW,Lehman Caves,Steponaitis et al (2015),-12.07,-94.28,2130,2.13,,39.005556,-114.220278,exact coords not given
LCW-2,GW,Lehman Caves,Steponaitis et al (2015),-12.63,-97.45,2130,2.13,,39.005556,-114.220278,exact coords not given
LCW-3,GW,Lehman Caves,Steponaitis et al (2015),-13.16,-101.80,2130,2.13,,39.005556,-114.220278,exact coords not given
LCW-4,GW,Lehman Caves,Steponaitis et al (2015),-12.32,-95.35,2130,2.13,,39.005556,-114.220278,exact coords not given
LCW-5,GW,Lehman Caves,Steponaitis et al (2015),-11.08,-85.37,2130,2.13,,39.005556,-114.220278,exact coords not given
LCW-6,GW,Lehman Caves,Steponaitis et al (2015),-11.66,-89.13,2130,2.13,,39.005556,-114.220278,exact coords not given
LCW-7,GW,Lehman Caves,Steponaitis et al (2015),-11.53,-87.97,2130,2.13,,39.005556,-114.220278,exact coords not given
LCW-8,GW,Lehman Caves,Steponaitis et al (2015),-11.49,-88.08,2130,2.13,,39.005556,-114.220278,exact coords not given
LCW-9,GW,Lehman Caves,Steponaitis et al (2015),-11.45,-87.69,2130,2.13,,39.005556,-114.220278,exact coords not given
LCW-10,GW,Lehman Caves,Steponaitis et al (2015),-12.00,-92.05,2130,2.13,,39.005556,-114.220278,exact coords not given
LCW-11,GW,Lehman Caves,Steponaitis et al (2015),-11.64,-90.57,2130,2.13,,39.005556,-114.220278,exact coords not given
LCW-12,GW,Lehman Caves,Steponaitis et al (2015),-12.13,-96.26,2130,2.13,,39.005556,-114.220278,exact coords not given
LCW-13,GW,Lehman Caves,Steponaitis et al (2015),-11.95,-93.81,2130,2.13,,39.005556,-114.220278,exact coords not given
LCW-14,GW,Lehman Caves,Steponaitis et al (2015),-12.64,-99.44,2130,2.13,,39.005556,-114.220278,exact coords not given
LCW-15,GW,Lehman Caves,Steponaitis et al (2015),-11.74,-91.91,2130,2.13,,39.005556,-114.220278,exact coords not given
LCW-16,GW,Lehman Caves,Steponaitis et al (2015),-11.38,-88.14,2130,2.13,,39.005556,-114.220278,exact coords not given
LCW-17,GW,Lehman Caves,Steponaitis et al (2015),-12.18,-94.91,2130,2.13,,39.005556,-114.220278,exact coords not given
LCW-18,GW,Lehman Caves,Steponaitis et al (2015),-11.40,-87.23,2130,2.13,,39.005556,-114.220278,exact coords not given
LCW-19,GW,Lehman Caves,Steponaitis et al (2015),-9.99,-82.35,2130,2.13,,39.005556,-114.220278,exact coords not given
,,,,,,,,,,,
Feb-09,creek,Baker Creek,Paul et al (2014) (USGS),-15.20,-113.00,2181.7584,2.1817584,,38.9909111,-114.2248,
,GW,Wheelers Deep Cave,Paul et al (2014) (USGS),-14.70,-109.00,2126.5896,2.1265896,,38.9891667,-114.2177778,
,creek,Pole Canyon Creek,Paul et al (2014) (USGS),-15.00,-112.00,2185.7208,2.1857208,,38.9827778,-114.2219444,
,GW,Model Cave,Paul et al (2014) (USGS),-14.90,-110.00,2133.6,2.1336,,38.9883333,-114.2111111,
,GW,Rosethorn Spring,Paul et al (2014) (USGS),-15.10,-112.00,1969.008,1.969008,,38.9966667,-114.1955556,
,GW,Squirrel Spring Cave,Paul et al (2014) (USGS),-15.20,-113.00,2194.56,2.19456,,38.9194444,-114.1955556,
,creek,Snake Creek,Paul et al (2014) (USGS),-15.40,-113.00,2058.924,2.058924,,38.9125,-114.1730556,
,GW,Outlet Spring,Paul et al (2014) (USGS),-15.70,-117.00,2058.924,2.058924,,38.9125,-114.1730556,
,creek,Snake Creek,Paul et al (2014) (USGS),-15.50,-113.00,1947.3672,1.9473672,,38.9161333,-114.1477056,
,GW,Outhouse Spring,Paul et al (2014) (USGS),-15.40,-113.00,1949.5008,1.9495008,,38.9159194,-114.1474444,
,GW,Spring Creek Spring,Paul et al (2014) (USGS),-15.20,-114.00,1887.0168,1.8870168,,38.9091389,-114.1126667,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
